location,size,total_sqft,bath,price,Place
EPIP Zone,3 BHK,1499,5,102,Bengaluru
Hegde Nagar,6 Bedroom,3000,7,210,Bengaluru
Kanakpura Road,3 BHK,1665,3,88,Bengaluru
Dasanapura,2 BHK,708,2,37,Bengaluru
Kasavanhalli,2 BHK,1060,2,58.06,Bengaluru
Rajaji Nagar,6 Bedroom,710,6,160,Bengaluru
Sanjay nagar,2 BHK,1000,2,70,Bengaluru
Electronic City,2 BHK,1000,2,28.88,Bengaluru
 Mysore Highway,3 BHK,1450,2,70,Bengaluru
ISRO Layout,4 Bedroom,1200,4,155,Bengaluru
Thanisandra,2 BHK,1296,2,80,Bengaluru
Domlur,3 BHK,1540,3,90,Bengaluru
Kengeri,4 Bedroom,2894,4,245,Bengaluru
Sarjapura - Attibele Road,3 BHK,1330,2,48,Bengaluru
Devasthanagalu,2 BHK,1200,2,65,Bengaluru
T Dasarahalli,3 Bedroom,1200,3,90,Bengaluru
Yeshwanthpur,3 BHK,2502,3,138,Bengaluru
Chandapura,2 BHK,650,1,17,Bengaluru
Kothanur,3 Bedroom,2400,2,150,Bengaluru
Green View Layout,2 BHK,1007,2,43,Bengaluru
Shantiniketan Layout,2 BHK,1200,2,50,Bengaluru
Peenya,2 BHK,966,2,49.9,Bengaluru
Nagarbhavi,3 BHK,1630,2,98,Bengaluru
Rajaji Nagar,3 BHK,1640,3,229,Bengaluru
Jalahalli West,2 BHK,782,2,55.68,Bengaluru
Devanahalli,2 BHK,1260,2,66.78,Bengaluru
Lakshmiamma Garden,3 BHK,1800,3,120,Bengaluru
Byatarayanapura,3 BHK,1413,2,75,Bengaluru
Whitefield,2 BHK,1116,2,51.91,Bengaluru
Electronic City,3 BHK,1530,2,45.9,Bengaluru
Ramamurthy Nagar,4 Bedroom,3700,4,225,Bengaluru
Sarjapur  Road,3 Bedroom,2497,3,140,Bengaluru
Kengeri,3 BHK,1540,2,64,Bengaluru
Thanisandra,3 BHK,1436,3,74.75,Bengaluru
Malleshwaram,2 BHK,1100,2,75,Bengaluru
Hennur Road,2 Bedroom,276,3,23,Bengaluru
Thanisandra,3 BHK,1427,3,120,Bengaluru
Akshaya Nagar,3 BHK,2061,3,200,Bengaluru
Hebbal,4 BHK,3067 - 8156,4,477,Bengaluru
Shampura,4 BHK,2650,4,150,Bengaluru
Devanahalli,3 BHK,1282,2,68.52,Bengaluru
Kadugodi,2 BHK,1050,2,34,Bengaluru
LB Shastri Nagar,3 BHK,1600,3,65,Bengaluru
Vajarahalli,2 BHK,945,2,54,Bengaluru
Hormavu,2 BHK,1500,2,78,Bengaluru
Vishwapriya Layout,7 Bedroom,950,7,115,Bengaluru
Peenya,3 BHK,1870,3,110,Bengaluru
Sarjapur,3 Bedroom,1600,3,75,Bengaluru
Electronic City,2 BHK,880,1,16.5,Bengaluru
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200,4,210,Bengaluru
Kudlu Gate,3 BHK,1535,3,83,Bengaluru
Kanakpura Road,2 BHK,950,2,57,Bengaluru
Devanahalli,2 BHK,1360,2,65,Bengaluru
8th Phase JP Nagar,2 BHK,1042 - 1105,2,54.005,Bengaluru
Bommasandra Industrial Area,3 BHK,1280,3,50.4,Bengaluru
Chandra Layout,3 BHK,1260,2,85.05,Bengaluru
Hennur Road,8 Bedroom,5000,8,250,Bengaluru
Yelahanka,5 BHK,3050,5,213,Bengaluru
Kasavanhalli,3 BHK,1563.05,3,105,Bengaluru
ISRO Layout,2 BHK,1000,2,60,Bengaluru
Anandapura,2 BHK,1167,2,43.76,Bengaluru
Vishveshwarya Layout,7 BHK,4000,7,225,Bengaluru
Kothanur,3 BHK,1828,3,110,Bengaluru
Kengeri Satellite Town,2 BHK,890,2,35,Bengaluru
Basavanapura,3 BHK,1612,3,46.74,Bengaluru
Dinnur,6 Bedroom,1034,5,185,Bengaluru
Mysore Road,3 BHK,1710,4,91.31,Bengaluru
Kannamangala,2 BHK,957,2,58,Bengaluru
 Devarachikkanahalli,3 BHK,1250,2,44,Bengaluru
Sanjeevini Nagar,3 BHK,2795,4,235,Bengaluru
Hulimavu,2 BHK,1125,2,50,Bengaluru
Electronic City Phase II,2 BHK,1020,2,30.6,Bengaluru
Kalena Agrahara,2 BHK,1200,2,50,Bengaluru
Thanisandra,3 BHK,1735,3,135,Bengaluru
Thanisandra,3 BHK,2050,3,145,Bengaluru
Mahalakshmi Layout,4 Bedroom,3750,4,760,Bengaluru
Yarandahalli,3 BHK,1350,2,48,Bengaluru
Hosa Road,2 BHK,1063,2,32,Bengaluru
Keshava Nagar,3 BHK,1904,3,150,Bengaluru
Whitefield,4 Bedroom,4200,4,420,Bengaluru
RMV Extension,3 BHK,2000,3,175,Bengaluru
Sarjapur,2 BHK,1145 - 1340,2,43.49,Bengaluru
Tejaswini Nagar,3 BHK,1425,2,75,Bengaluru
Electronic City,3 BHK,1500,2,64.5,Bengaluru
Electronic City,2 BHK,1060,2,60,Bengaluru
Jai Bheema Nagar,3 BHK,1470,2,70,Bengaluru
Kothnur Narayanapura,6 BHK,1300,6,99,Bengaluru
Attibele,1 BHK,450,1,11,Bengaluru
Electronic City,2 BHK,1152,2,64.5,Bengaluru
Electronic City,3 BHK,1350,2,56,Bengaluru
CV Raman Nagar,3 BHK,1550,3,65,Bengaluru
CHIKKATIRUPATHI,3 Bedroom,1500,3,100,Bengaluru
Kumaraswami Layout,5 Bedroom,600,3,85,Bengaluru
Nagavara,1 Bedroom,400,1,14,Bengaluru
Malleshwaram,1 BHK,705,1,67,Bengaluru
Electronic City,2 BHK,770,1,36,Bengaluru
Hulimavu,2 BHK,1242,2,51,Bengaluru
Hebbal Kempapura,3 BHK,1700,3,155,Bengaluru
Thanisandra,3 BHK,2144,3,145,Bengaluru
Vijayanagar,3 BHK,1704,3,110,Bengaluru
Electronic City,2 BHK,1070,2,52,Bengaluru
8th block Koramangala,3 Bedroom,1846,3,300,Bengaluru
Jakkuru Layout,2 BHK,1340,2,55.7,Bengaluru
Electronic City,2 BHK,1025,2,46,Bengaluru
KR Puram,2 BHK,1015 - 1540,2,56.8,Bengaluru
Marathahalli,2 BHK,1200,2,52,Bengaluru
Kanakpura Road,4 Bedroom,2250,4,110,Bengaluru
Pattandur Agrahara,3 BHK,1550,2,80,Bengaluru
Bellandur,4 Bedroom,1200,5,325,Bengaluru
Ejipura,7 Bedroom,1800,7,250,Bengaluru
Marathahalli,2 BHK,1200,2,60,Bengaluru
Yelahanka,2 BHK,1327,2,98,Bengaluru
Kothanur,2 BHK,1186,2,58,Bengaluru
MS Pallya,3 Bedroom,1783,3,115,Bengaluru
HSR Layout,3 BHK,1400,3,56,Bengaluru
Nagasandra,2 BHK,980,2,48,Bengaluru
EPIP Zone,2 BHK,1285,2,82,Bengaluru
Langford Town,3 BHK,912,2,70,Bengaluru
Whitefield,2 BHK,1225,2,47.6,Bengaluru
Whitefield,2 BHK,1075,2,53,Bengaluru
Kadugodi,3 BHK,1260,2,54,Bengaluru
Yelahanka,3 BHK,1282,2,48.7,Bengaluru
Kogilu,3 BHK,1909,3,88,Bengaluru
Panathur,2 BHK,1359,2,87,Bengaluru
Nagondanahalli,2 BHK,1207,2,43.5,Bengaluru
Padmanabhanagar,4 Bedroom,1736,6,190,Bengaluru
1st Block Jayanagar,4 BHK,2850,4,428,Bengaluru
Kammasandra,3 BHK,1595,3,65,Bengaluru
"Off Sarjapur Road, ",3 BHK,1798,3,89,Bengaluru
Electronics City Phase 1,3 BHK,1475,3,78.29,Bengaluru
Tala Cauvery Layout,3 BHK,1580,3,100,Bengaluru
Dasarahalli,2 BHK,1295,2,65,Bengaluru
Magadi Road,6 Bedroom,3600,6,141,Bengaluru
Electronic City,1 BHK,589,1,27,Bengaluru
Ngef Layout,3 BHK,1415,3,78,Bengaluru
Sarjapur  Road,3 BHK,1787,3,98.29,Bengaluru
Sarjapur  Road,3 BHK,1787,3,125,Bengaluru
Koramangala,3 BHK,1475,2,90,Bengaluru
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000,4,75.5,Bengaluru
Sarjapur  Road,2 BHK,984,2,44.28,Bengaluru
Devanahalli,3 BHK,1520 - 1740,,74.82,Bengaluru
Muthurayya Swamy Layout,3 BHK,2405,4,260,Bengaluru
7th Phase JP Nagar,2 BHK,1080,2,72,Bengaluru
Shantiniketan Layout,2 Bedroom,1500,2,115,Bengaluru
Hebbal,3 BHK,1900,3,119,Bengaluru
Dommasandra,2 BHK,805,2,22.14,Bengaluru
Budigere,2 BHK,1153,2,56.4,Bengaluru
Dodda Nekkundi Extension,2 BHK,1148,2,60,Bengaluru
Mylasandra,2 BHK,1110,2,55,Bengaluru
Electronic City,2 BHK,1100,2,42,Bengaluru
Kalyan nagar,2 BHK,1290,2,110,Bengaluru
Dr Shivarama Karantha Nagar,3 BHK,1500,2,65,Bengaluru
Bank Of Baroda Colony,2 BHK,1080,2,39,Bengaluru
Vijayanagar,3 BHK,1933,3,129,Bengaluru
Ramamurthy Nagar,5 Bedroom,3500,5,150,Bengaluru
Kullappa Colony,2 BHK,1060,2,60,Bengaluru
Chandapura,1 BHK,645,1,16.45,Bengaluru
Mukkutam Nagar,8 Bedroom,2600,8,180,Bengaluru
Chandapura,1 BHK,645,1,16.45,Bengaluru
Ashwath Nagar,3 BHK,1644,3,84,Bengaluru
Ncpr Industrial Layout,2 BHK,1285,2,72.5,Bengaluru
Electronic City,3 Bedroom,1200,3,90,Bengaluru
Electronic City,2 BHK,910,2,40,Bengaluru
Kothanur,3 BHK,1577,3,70,Bengaluru
Meenakunte,3 Bedroom,4050,3,280,Bengaluru
OMBR Layout,3 BHK,2420,3,185,Bengaluru
Chandapura,2 BHK,800,1,20,Bengaluru
Anand Nagar,2 BHK,1060,2,55,Bengaluru
7th Phase JP Nagar,2 BHK,1270,2,93,Bengaluru
Shree Ananth Nagar Layout,2 BHK,900,2,22.5,Bengaluru
Kundalahalli Colony,2 Bedroom,1280,2,69,Bengaluru
Horamavu Agara,4 Bedroom,1200,2,95,Bengaluru
Sarjapur  Road,2 BHK,1025,2,36,Bengaluru
Electronic City,2 BHK,1108,2,63,Bengaluru
MCECHS  layout,5 Bedroom,1200,5,170,Bengaluru
Coffee Board Layout,3 BHK,3045,3,170,Bengaluru
Ambedkar Nagar,4 Bedroom,2900,3,300,Bengaluru
Vijayanagar,3 BHK,1500,3,75.5,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1295,2,43.9,Bengaluru
Budigere,2 BHK,1162,2,59.9,Bengaluru
Sarjapur  Road,2 BHK,1035,2,49.2,Bengaluru
Attibele,4 Bedroom,1600,4,52.8,Bengaluru
KUDLU MAIN ROAD,3 BHK,1464,3,46,Bengaluru
Hennur Road,3 BHK,1866,2,61.58,Bengaluru
Geleyara Balaga Layout,2 BHK,700,1,26,Bengaluru
Kalena Agrahara,3 BHK,1804,3,120,Bengaluru
Sarjapur,2 BHK,913,2,32,Bengaluru
Talaghattapura,3 BHK,1868,3,131,Bengaluru
Kengeri Satellite Town,2 BHK,883,2,45,Bengaluru
Sundara Nagar,2 Bedroom,900,2,110,Bengaluru
Kogilu,3 BHK,1664,2,73.95,Bengaluru
Hegde Nagar,3 BHK,2026,3,132,Bengaluru
Balagere,2 BHK,1210,2,80.9,Bengaluru
Meenakunte,4 Bedroom,4111,4,250,Bengaluru
Kadugodi,3 BHK,1762,3,91.45,Bengaluru
Jigani,3 BHK,1252,3,55,Bengaluru
Gollarapalya Hosahalli,2 BHK,861,2,34.5,Bengaluru
7th Phase JP Nagar,3 BHK,1420,2,100,Bengaluru
Srirampura,6 Bedroom,1450,6,250,Bengaluru
Electronics City Phase 1,3 BHK,1490,3,78.8,Bengaluru
Bisuvanahalli,3 BHK,1075,2,46,Bengaluru
Old Madras Road,3 BHK,1425,2,94,Bengaluru
Kalena Agrahara,2 BHK,1200,2,40,Bengaluru
Kaggadasapura,3 BHK,1280,2,56,Bengaluru
Silver Springs Layout,2 BHK,1084,2,50,Bengaluru
Chandapura,2 BHK,1015,2,25.88,Bengaluru
Kanakpura Road,2 BHK,1017,2,51.25,Bengaluru
Haralur Road,2 BHK,1027,2,44,Bengaluru
Electronic City Phase II,2 BHK,1069,2,45,Bengaluru
Hebbal,2 BHK,1349,2,98.2,Bengaluru
9th Phase JP Nagar,2 BHK,1005,2,50,Bengaluru
Jakkur,2 BHK,1417,2,75,Bengaluru
TC Palaya,3 Bedroom,1475,3,98,Bengaluru
Maruthi Sevanagar,2 BHK,950,2,47,Bengaluru
RMV 2nd Stage,4 BHK,2000,4,120,Bengaluru
Giri Nagar,3 Bedroom,880,3,140,Bengaluru
Sarjapur  Road,4 BHK,1863,3,104,Bengaluru
Singasandra,2 BHK,1010,2,29.5,Bengaluru
Kalena Agrahara,3 BHK,1425,2,70,Bengaluru
Vijayanagar,3 BHK,1450,3,100,Bengaluru
Kothanur,3 BHK,1847,3,105,Bengaluru
AECS Layout,2 BHK,1100,2,45,Bengaluru
Kanakpura Road,1 BHK,525,1,26,Bengaluru
Mallasandra,3 BHK,1665,3,95,Bengaluru
Begur,4 BHK,1664,4,65,Bengaluru
JP Nagar,3 BHK,1850,3,150,Bengaluru
Panathur,2 BHK,1438,2,100,Bengaluru
Sunder Ram Shetty Nagar,3 BHK,1560,3,115,Bengaluru
Yelahanka,2 BHK,1350,2,55.55,Bengaluru
Kanakpura Road,3 BHK,1550,3,67,Bengaluru
Malleshpalya,2 BHK,1140,2,46.5,Bengaluru
Srirampura,5 Bedroom,1200,5,180,Bengaluru
Kodathi,2 BHK,850,2,27,Bengaluru
Whitefield,2 BHK,1280,2,75,Bengaluru
Munnekollal,2 BHK,1170,2,52,Bengaluru
Motappa Layout,2 BHK,1113,2,51,Bengaluru
Hennur Road,2 BHK,1385,2,83.09,Bengaluru
Electronic City,2 BHK,1128,2,65,Bengaluru
Marathahalli,2 Bedroom,1200,2,128,Bengaluru
Akshaya Vana,4 Bedroom,1200,4,165,Bengaluru
Rajaji Nagar,3 BHK,2390,3,415,Bengaluru
Giri Nagar,4 Bedroom,2400,4,400,Bengaluru
Haralur Road,3 BHK,1464,3,56,Bengaluru
Manayata Tech Park,2 BHK,1200,2,55,Bengaluru
Kaval Byrasandra,2 BHK,1200,2,52,Bengaluru
Kaggalipura,3 BHK,1150,2,55,Bengaluru
Basavanna Nagar,3 BHK,1645,3,95,Bengaluru
Sarjapur  Road,2 BHK,1000,2,67,Bengaluru
Haralur Road,4 Bedroom,2650,4,198,Bengaluru
6th Phase JP Nagar,2 BHK,1192,2,74,Bengaluru
Ulsoor,3 BHK,2135,3,215,Bengaluru
Whitefield,2 BHK,1173,2,58,Bengaluru
Uttarahalli,2 BHK,1020,2,45,Bengaluru
Thigalarapalya,4 BHK,3122,6,230,Bengaluru
Somasundara Palya,3 BHK,1600,3,64,Bengaluru
T.C PALYA,2 Bedroom,1200,2,79,Bengaluru
Muneshwara Nagar,2 BHK,1230,2,48,Bengaluru
 Devarachikkanahalli,2 BHK,1250,2,40,Bengaluru
Kalena Agrahara,2 BHK,1325,2,76,Bengaluru
7th Phase JP Nagar,3 BHK,1850,3,150,Bengaluru
Kanakpura Road,1 BHK,525,,21.53,Bengaluru
Basaveshwara Nagar,2 BHK,1200,2,65,Bengaluru
Bull Temple Road,3 Bedroom,1350,2,140,Bengaluru
Bommasandra,3 BHK,1260,3,49.36,Bengaluru
Prashanth Nagar,3 BHK,1800,3,150,Bengaluru
Suragajakkanahalli,3 Bedroom,11,3,74,Bengaluru
Ardendale,2 BHK,1100,2,43.25,Bengaluru
Harlur,2 BHK,1508,2,77,Bengaluru
Sampigehalli,3 BHK,1592,3,75,Bengaluru
Akshaya Nagar,2 BHK,1388,2,57,Bengaluru
Electronic City Phase II,1 BHK,630,1,28.35,Bengaluru
RMV,3 Bedroom,2000,3,365,Bengaluru
Banashankari3rd stage bigbazar,3 BHK,1762,3,125,Bengaluru
Bagalur Main Road,2 BHK,950,2,50,Bengaluru
Kodihalli,4 BHK,3252,5,335,Bengaluru
Magadi Road,2 BHK,1116,2,50,Bengaluru
Narayanapura,2 BHK,1308,2,89.04,Bengaluru
MS Pallya,3 BHK,1200,3,90,Bengaluru
Binny Mills Employees Colony,4 Bedroom,1500,4,230,Bengaluru
Bannerghatta Road,1 BHK,500,1,18.5,Bengaluru
Hennur,2 BHK,1075,2,52,Bengaluru
Chandapura,1 BHK,530,1,11.66,Bengaluru
Bellandur,2 BHK,1205,2,66,Bengaluru
5th Phase JP Nagar,2 BHK,1075,2,60,Bengaluru
KR Puram,2 BHK,930,2,39,Bengaluru
Balagere,2 BHK,1380,2,60,Bengaluru
Hebbal,4 BHK,2483,5,212,Bengaluru
Kodigehaali,2 BHK,1166,2,55,Bengaluru
Bannerghatta Road,2 BHK,1050,2,65,Bengaluru
Gopalapura,3 BHK,2023.71,3,275,Bengaluru
Begur Road,2 BHK,1200,2,46.8,Bengaluru
Lakshminarayana Pura,3 BHK,1600,2,108,Bengaluru
Billekahalli,3 BHK,1935,3,110,Bengaluru
8th Phase JP Nagar,1 BHK,451,1,29.9,Bengaluru
Electronic City,3 BHK,1800,3,95,Bengaluru
Jalahalli,3 BHK,1400,3,77,Bengaluru
Hegde Nagar,3 BHK,1801,3,115,Bengaluru
Mahadevpura,2 BHK,1451,2,90,Bengaluru
Anekal,2 Bedroom,1200,1,36,Bengaluru
Begur Road,2 BHK,1160,2,44,Bengaluru
Kengeri,2 BHK,1000,2,25,Bengaluru
Kanakpura Road,2 BHK,950,2,40,Bengaluru
"Hoodi Circle, ",3 BHK,1629,3,79,Bengaluru
Vijayanagar,3 BHK,1580,2,134,Bengaluru
Vijayanagar,3 BHK,1826,3,121,Bengaluru
7th Phase JP Nagar,2 BHK,1245,2,94,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1145,2,45.79,Bengaluru
Sompura,2 BHK,825,2,33,Bengaluru
Yeshwanthpur,3 BHK,1693,3,108,Bengaluru
Electronics City Phase 1,2 BHK,1113.27,2,53,Bengaluru
Ashirvad Colony,2 BHK,1460,2,58,Bengaluru
Doddathoguru,2 BHK,1050,2,32,Bengaluru
Dodda Nekkundi,2 BHK,1260,2,55,Bengaluru
K N Extension,6 BHK,700,3,120,Bengaluru
Hosur Road,2 BHK,1656,2,120,Bengaluru
Chandapura,3 BHK,1208,3,45,Bengaluru
Whitefield,3 BHK,1910,3,161,Bengaluru
Whitefield,4 BHK,3252,4,230,Bengaluru
Battarahalli,2 Bedroom,1200,2,65,Bengaluru
Gokula Extension,4 BHK,1200,4,175,Bengaluru
7th Phase JP Nagar,2 BHK,1175,2,82,Bengaluru
Kamakshipalya,2 Bedroom,1000,2,165,Bengaluru
Bannerghatta Road,4 Bedroom,1200,2,125,Bengaluru
Rajaji Nagar,3 BHK,2390,3,410,Bengaluru
Rajaji Nagar,7 BHK,12000,6,2200,Bengaluru
Sultan Palaya,2 Bedroom,550,1,62,Bengaluru
Kengeri,1 BHK,34.46Sq. Meter,1,18.5,Bengaluru
Sanne Amanikere,2 BHK,1185,2,38,Bengaluru
Kengeri,2 BHK,750,2,38,Bengaluru
Mahalakshmi Layout,6 Bedroom,1200,7,250,Bengaluru
Kanakpura Road,3 BHK,1550,3,64.5,Bengaluru
Amco Colony,3 BHK,1760,3,88,Bengaluru
Billekahalli,2 BHK,1125,2,62,Bengaluru
Nagarbhavi,3 Bedroom,1350,3,150,Bengaluru
Anandapura,2 Bedroom,1000,2,55,Bengaluru
Bommasandra Industrial Area,2 BHK,1090,2,31.48,Bengaluru
TC Palaya,2 Bedroom,1200,2,60,Bengaluru
Budigere,3 BHK,1991,4,103,Bengaluru
Bommasandra,2 BHK,1060,2,26.5,Bengaluru
Ambalipura,2 BHK,1105,2,75,Bengaluru
Hoodi,2 BHK,985,2,67,Bengaluru
Chandapura,6 Bedroom,1533,5,85,Bengaluru
Balagere,3 BHK,1590,3,79,Bengaluru
CV Raman Nagar,2 BHK,1120,2,55,Bengaluru
Samethanahalli,2 BHK,1069,2,55,Bengaluru
Marathahalli,3 BHK,1933,3,140,Bengaluru
Hosur Road,2 BHK,1194,2,69,Bengaluru
Brookefield,2 BHK,1150,2,69,Bengaluru
Yelenahalli,2 BHK,1240,2,47.12,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1419,2,48.1,Bengaluru
7th Phase JP Nagar,8 Bedroom,1200,8,250,Bengaluru
Richmond Town,3 BHK,2150,4,240,Bengaluru
Suddaguntepalya,3 BHK,1450,3,55,Bengaluru
Udayapur Village,3 BHK,1630,3,68.29,Bengaluru
Dasanapura,2 BHK,708,1,40,Bengaluru
Kasavanhalli,3 Bedroom,1000,4,110,Bengaluru
Whitefield,4 Bedroom,11890,4,700,Bengaluru
Bellandur,2 BHK,1250,2,76,Bengaluru
7th Phase JP Nagar,3 BHK,1400,2,95,Bengaluru
Sarjapur  Road,3 BHK,1670,2,57,Bengaluru
Ardendale,3 BHK,1750,3,100,Bengaluru
Vittasandra,2 BHK,1404,2,71,Bengaluru
Hoodi,3 BHK,1715,2,95,Bengaluru
Electronic City,1 BHK,630,1,34.65,Bengaluru
Harlur,3 BHK,1752.12,3,135,Bengaluru
Hulimavu,3 BHK,1650,3,78,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1295,2,55.47,Bengaluru
Giri Nagar,3 Bedroom,1800,3,252,Bengaluru
Sarjapur  Road,2 BHK,1346,2,74.03,Bengaluru
Thippasandra,4 Bedroom,1200,4,200,Bengaluru
Hormavu,2 BHK,1150,2,55,Bengaluru
Chikkabidarakallu,4 Bedroom,3309,4,325,Bengaluru
Chandapura,3 BHK,1190,2,30.35,Bengaluru
AECS Layout,3 BHK,1620,3,98,Bengaluru
Marathahalli,2 BHK,950,2,46.96,Bengaluru
1 Giri Nagar,11 BHK,5000,9,360,Bengaluru
Harlur,3 BHK,2450,3,120,Bengaluru
Electronic City Phase II,3 BHK,1220,2,35.23,Bengaluru
Hoysalanagar,2 BHK,850,2,30,Bengaluru
Padmanabhanagar,2 BHK,1020,2,63,Bengaluru
Chikkalasandra,2 BHK,1100,2,50,Bengaluru
Defence Colony,2 BHK,1150,2,126,Bengaluru
Hebbal,3 BHK,1760,2,130,Bengaluru
Ambalipura,3 BHK,1800,3,110,Bengaluru
Akshaya Nagar,2 BHK,1070,2,54,Bengaluru
2nd Stage Nagarbhavi,4 Bedroom,1500,4,220,Bengaluru
Vidyaranyapura,2 Bedroom,1440,2,95,Bengaluru
Amruthahalli,2 BHK,900,2,40,Bengaluru
ITI Employees Layout,4 BHK,1200,4,230,Bengaluru
Whitefield,2 BHK,1130,2,42.16,Bengaluru
Koramangala,2 BHK,1320,2,165,Bengaluru
Kodigehalli,2 BHK,1270,2,98,Bengaluru
Patelappa Layout,2 BHK,1200,2,62,Bengaluru
Ring Road Nagarbhavi,4 BHK,4800,4,235,Bengaluru
