location,size,total_sqft,bath,price,Place
Hegde Nagar,3 BHK,1569,3.0,101.0,Bengaluru
Haralur Road,2 BHK,1240,2.0,70.0,Bengaluru
Hennur Road,3 BHK,2089,3.0,140.0,Bengaluru
Kothannur,2 BHK,1206,2.0,48.23,Bengaluru
Kalena Agrahara,2 BHK,1150,2.0,40.0,Bengaluru
Cholanayakanahalli,3 BHK,2511,3.0,205.0,Bengaluru
Kaval Byrasandra,2 BHK,460,1.0,22.0,Bengaluru
ISRO Layout,6 Bedroom,4400,6.0,250.0,Bengaluru
Kodanda Reddy Layout,3 BHK,1660,2.0,105.0,Bengaluru
Hennur Road,4 Bedroom,2957 - 3450,,224.5,Bengaluru
Yelahanka,2 BHK,1326,2.0,78.0,Bengaluru
Garudachar Palya,3 BHK,1325,2.0,60.8,Bengaluru
EPIP Zone,3 BHK,1499,5.0,102.0,Bengaluru
Hegde Nagar,6 Bedroom,3000,7.0,210.0,Bengaluru
Kanakpura Road,3 BHK,1665,3.0,88.0,Bengaluru
Dasanapura,2 BHK,708,2.0,37.0,Bengaluru
Kasavanhalli,2 BHK,1060,2.0,58.06,Bengaluru
Rajaji Nagar,6 Bedroom,710,6.0,160.0,Bengaluru
Sanjay nagar,2 BHK,1000,2.0,70.0,Bengaluru
Electronic City,2 BHK,1000,2.0,28.88,Bengaluru
 Mysore Highway,3 BHK,1450,2.0,70.0,Bengaluru
ISRO Layout,4 Bedroom,1200,4.0,155.0,Bengaluru
Thanisandra,2 BHK,1296,2.0,80.0,Bengaluru
Domlur,3 BHK,1540,3.0,90.0,Bengaluru
Kengeri,4 Bedroom,2894,4.0,245.0,Bengaluru
Sarjapura - Attibele Road,3 BHK,1330,2.0,48.0,Bengaluru
Devasthanagalu,2 BHK,1200,2.0,65.0,Bengaluru
T Dasarahalli,3 Bedroom,1200,3.0,90.0,Bengaluru
Yeshwanthpur,3 BHK,2502,3.0,138.0,Bengaluru
Chandapura,2 BHK,650,1.0,17.0,Bengaluru
Kothanur,3 Bedroom,2400,2.0,150.0,Bengaluru
Green View Layout,2 BHK,1007,2.0,43.0,Bengaluru
Shantiniketan Layout,2 BHK,1200,2.0,50.0,Bengaluru
Peenya,2 BHK,966,2.0,49.9,Bengaluru
Nagarbhavi,3 BHK,1630,2.0,98.0,Bengaluru
Rajaji Nagar,3 BHK,1640,3.0,229.0,Bengaluru
Jalahalli West,2 BHK,782,2.0,55.68,Bengaluru
Devanahalli,2 BHK,1260,2.0,66.78,Bengaluru
Lakshmiamma Garden,3 BHK,1800,3.0,120.0,Bengaluru
Byatarayanapura,3 BHK,1413,2.0,75.0,Bengaluru
Whitefield,2 BHK,1116,2.0,51.91,Bengaluru
Electronic City,3 BHK,1530,2.0,45.9,Bengaluru
Ramamurthy Nagar,4 Bedroom,3700,4.0,225.0,Bengaluru
Sarjapur  Road,3 Bedroom,2497,3.0,140.0,Bengaluru
Kengeri,3 BHK,1540,2.0,64.0,Bengaluru
Thanisandra,3 BHK,1436,3.0,74.75,Bengaluru
Malleshwaram,2 BHK,1100,2.0,75.0,Bengaluru
Hennur Road,2 Bedroom,276,3.0,23.0,Bengaluru
Thanisandra,3 BHK,1427,3.0,120.0,Bengaluru
Akshaya Nagar,3 BHK,2061,3.0,200.0,Bengaluru
Hebbal,4 BHK,3067 - 8156,4.0,477.0,Bengaluru
Shampura,4 BHK,2650,4.0,150.0,Bengaluru
Devanahalli,3 BHK,1282,2.0,68.52,Bengaluru
Kadugodi,2 BHK,1050,2.0,34.0,Bengaluru
LB Shastri Nagar,3 BHK,1600,3.0,65.0,Bengaluru
Vajarahalli,2 BHK,945,2.0,54.0,Bengaluru
Hormavu,2 BHK,1500,2.0,78.0,Bengaluru
Vishwapriya Layout,7 Bedroom,950,7.0,115.0,Bengaluru
Peenya,3 BHK,1870,3.0,110.0,Bengaluru
Sarjapur,3 Bedroom,1600,3.0,75.0,Bengaluru
Electronic City,2 BHK,880,1.0,16.5,Bengaluru
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200,4.0,210.0,Bengaluru
Kudlu Gate,3 BHK,1535,3.0,83.0,Bengaluru
Kanakpura Road,2 BHK,950,2.0,57.0,Bengaluru
Devanahalli,2 BHK,1360,2.0,65.0,Bengaluru
8th Phase JP Nagar,2 BHK,1042 - 1105,2.0,54.005,Bengaluru
Bommasandra Industrial Area,3 BHK,1280,3.0,50.4,Bengaluru
Chandra Layout,3 BHK,1260,2.0,85.05,Bengaluru
Hennur Road,8 Bedroom,5000,8.0,250.0,Bengaluru
Yelahanka,5 BHK,3050,5.0,213.0,Bengaluru
Kasavanhalli,3 BHK,1563.05,3.0,105.0,Bengaluru
ISRO Layout,2 BHK,1000,2.0,60.0,Bengaluru
Anandapura,2 BHK,1167,2.0,43.76,Bengaluru
Vishveshwarya Layout,7 BHK,4000,7.0,225.0,Bengaluru
Kothanur,3 BHK,1828,3.0,110.0,Bengaluru
Kengeri Satellite Town,2 BHK,890,2.0,35.0,Bengaluru
Basavanapura,3 BHK,1612,3.0,46.74,Bengaluru
Dinnur,6 Bedroom,1034,5.0,185.0,Bengaluru
Mysore Road,3 BHK,1710,4.0,91.31,Bengaluru
Kannamangala,2 BHK,957,2.0,58.0,Bengaluru
 Devarachikkanahalli,3 BHK,1250,2.0,44.0,Bengaluru
Sanjeevini Nagar,3 BHK,2795,4.0,235.0,Bengaluru
Hulimavu,2 BHK,1125,2.0,50.0,Bengaluru
Electronic City Phase II,2 BHK,1020,2.0,30.6,Bengaluru
Kalena Agrahara,2 BHK,1200,2.0,50.0,Bengaluru
Thanisandra,3 BHK,1735,3.0,135.0,Bengaluru
Thanisandra,3 BHK,2050,3.0,145.0,Bengaluru
Mahalakshmi Layout,4 Bedroom,3750,4.0,760.0,Bengaluru
Yarandahalli,3 BHK,1350,2.0,48.0,Bengaluru
Hosa Road,2 BHK,1063,2.0,32.0,Bengaluru
Keshava Nagar,3 BHK,1904,3.0,150.0,Bengaluru
Whitefield,4 Bedroom,4200,4.0,420.0,Bengaluru
RMV Extension,3 BHK,2000,3.0,175.0,Bengaluru
Sarjapur,2 BHK,1145 - 1340,2.0,43.49,Bengaluru
Tejaswini Nagar,3 BHK,1425,2.0,75.0,Bengaluru
Electronic City,3 BHK,1500,2.0,64.5,Bengaluru
Electronic City,2 BHK,1060,2.0,60.0,Bengaluru
Jai Bheema Nagar,3 BHK,1470,2.0,70.0,Bengaluru
Kothnur Narayanapura,6 BHK,1300,6.0,99.0,Bengaluru
Attibele,1 BHK,450,1.0,11.0,Bengaluru
Electronic City,2 BHK,1152,2.0,64.5,Bengaluru
Electronic City,3 BHK,1350,2.0,56.0,Bengaluru
CV Raman Nagar,3 BHK,1550,3.0,65.0,Bengaluru
CHIKKATIRUPATHI,3 Bedroom,1500,3.0,100.0,Bengaluru
Kumaraswami Layout,5 Bedroom,600,3.0,85.0,Bengaluru
Nagavara,1 Bedroom,400,1.0,14.0,Bengaluru
Malleshwaram,1 BHK,705,1.0,67.0,Bengaluru
Electronic City,2 BHK,770,1.0,36.0,Bengaluru
Hulimavu,2 BHK,1242,2.0,51.0,Bengaluru
Hebbal Kempapura,3 BHK,1700,3.0,155.0,Bengaluru
Thanisandra,3 BHK,2144,3.0,145.0,Bengaluru
Vijayanagar,3 BHK,1704,3.0,110.0,Bengaluru
Electronic City,2 BHK,1070,2.0,52.0,Bengaluru
8th block Koramangala,3 Bedroom,1846,3.0,300.0,Bengaluru
Jakkuru Layout,2 BHK,1340,2.0,55.7,Bengaluru
Electronic City,2 BHK,1025,2.0,46.0,Bengaluru
KR Puram,2 BHK,1015 - 1540,2.0,56.8,Bengaluru
Marathahalli,2 BHK,1200,2.0,52.0,Bengaluru
Kanakpura Road,4 Bedroom,2250,4.0,110.0,Bengaluru
Pattandur Agrahara,3 BHK,1550,2.0,80.0,Bengaluru
Bellandur,4 Bedroom,1200,5.0,325.0,Bengaluru
Ejipura,7 Bedroom,1800,7.0,250.0,Bengaluru
Marathahalli,2 BHK,1200,2.0,60.0,Bengaluru
Yelahanka,2 BHK,1327,2.0,98.0,Bengaluru
Kothanur,2 BHK,1186,2.0,58.0,Bengaluru
MS Pallya,3 Bedroom,1783,3.0,115.0,Bengaluru
HSR Layout,3 BHK,1400,3.0,56.0,Bengaluru
Nagasandra,2 BHK,980,2.0,48.0,Bengaluru
EPIP Zone,2 BHK,1285,2.0,82.0,Bengaluru
Langford Town,3 BHK,912,2.0,70.0,Bengaluru
Whitefield,2 BHK,1225,2.0,47.6,Bengaluru
Whitefield,2 BHK,1075,2.0,53.0,Bengaluru
Kadugodi,3 BHK,1260,2.0,54.0,Bengaluru
Yelahanka,3 BHK,1282,2.0,48.7,Bengaluru
Kogilu,3 BHK,1909,3.0,88.0,Bengaluru
Panathur,2 BHK,1359,2.0,87.0,Bengaluru
Nagondanahalli,2 BHK,1207,2.0,43.5,Bengaluru
Padmanabhanagar,4 Bedroom,1736,6.0,190.0,Bengaluru
1st Block Jayanagar,4 BHK,2850,4.0,428.0,Bengaluru
Kammasandra,3 BHK,1595,3.0,65.0,Bengaluru
"Off Sarjapur Road, ",3 BHK,1798,3.0,89.0,Bengaluru
Electronics City Phase 1,3 BHK,1475,3.0,78.29,Bengaluru
Tala Cauvery Layout,3 BHK,1580,3.0,100.0,Bengaluru
Dasarahalli,2 BHK,1295,2.0,65.0,Bengaluru
Magadi Road,6 Bedroom,3600,6.0,141.0,Bengaluru
Electronic City,1 BHK,589,1.0,27.0,Bengaluru
Ngef Layout,3 BHK,1415,3.0,78.0,Bengaluru
Sarjapur  Road,3 BHK,1787,3.0,98.29,Bengaluru
Sarjapur  Road,3 BHK,1787,3.0,125.0,Bengaluru
Koramangala,3 BHK,1475,2.0,90.0,Bengaluru
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000,4.0,75.5,Bengaluru
Sarjapur  Road,2 BHK,984,2.0,44.28,Bengaluru
Devanahalli,3 BHK,1520 - 1740,,74.82,Bengaluru
Muthurayya Swamy Layout,3 BHK,2405,4.0,260.0,Bengaluru
7th Phase JP Nagar,2 BHK,1080,2.0,72.0,Bengaluru
Shantiniketan Layout,2 Bedroom,1500,2.0,115.0,Bengaluru
Hebbal,3 BHK,1900,3.0,119.0,Bengaluru
Dommasandra,2 BHK,805,2.0,22.14,Bengaluru
Budigere,2 BHK,1153,2.0,56.4,Bengaluru
Dodda Nekkundi Extension,2 BHK,1148,2.0,60.0,Bengaluru
Mylasandra,2 BHK,1110,2.0,55.0,Bengaluru
Electronic City,2 BHK,1100,2.0,42.0,Bengaluru
Kalyan nagar,2 BHK,1290,2.0,110.0,Bengaluru
Dr Shivarama Karantha Nagar,3 BHK,1500,2.0,65.0,Bengaluru
Bank Of Baroda Colony,2 BHK,1080,2.0,39.0,Bengaluru
Vijayanagar,3 BHK,1933,3.0,129.0,Bengaluru
Ramamurthy Nagar,5 Bedroom,3500,5.0,150.0,Bengaluru
Kullappa Colony,2 BHK,1060,2.0,60.0,Bengaluru
Chandapura,1 BHK,645,1.0,16.45,Bengaluru
Mukkutam Nagar,8 Bedroom,2600,8.0,180.0,Bengaluru
Chandapura,1 BHK,645,1.0,16.45,Bengaluru
Ashwath Nagar,3 BHK,1644,3.0,84.0,Bengaluru
Ncpr Industrial Layout,2 BHK,1285,2.0,72.5,Bengaluru
Electronic City,3 Bedroom,1200,3.0,90.0,Bengaluru
Electronic City,2 BHK,910,2.0,40.0,Bengaluru
Kothanur,3 BHK,1577,3.0,70.0,Bengaluru
Meenakunte,3 Bedroom,4050,3.0,280.0,Bengaluru
OMBR Layout,3 BHK,2420,3.0,185.0,Bengaluru
Chandapura,2 BHK,800,1.0,20.0,Bengaluru
Anand Nagar,2 BHK,1060,2.0,55.0,Bengaluru
7th Phase JP Nagar,2 BHK,1270,2.0,93.0,Bengaluru
Shree Ananth Nagar Layout,2 BHK,900,2.0,22.5,Bengaluru
Kundalahalli Colony,2 Bedroom,1280,2.0,69.0,Bengaluru
Horamavu Agara,4 Bedroom,1200,2.0,95.0,Bengaluru
Sarjapur  Road,2 BHK,1025,2.0,36.0,Bengaluru
Electronic City,2 BHK,1108,2.0,63.0,Bengaluru
MCECHS  layout,5 Bedroom,1200,5.0,170.0,Bengaluru
Coffee Board Layout,3 BHK,3045,3.0,170.0,Bengaluru
Ambedkar Nagar,4 Bedroom,2900,3.0,300.0,Bengaluru
Vijayanagar,3 BHK,1500,3.0,75.5,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1295,2.0,43.9,Bengaluru
Budigere,2 BHK,1162,2.0,59.9,Bengaluru
Sarjapur  Road,2 BHK,1035,2.0,49.2,Bengaluru
Attibele,4 Bedroom,1600,4.0,52.8,Bengaluru
KUDLU MAIN ROAD,3 BHK,1464,3.0,46.0,Bengaluru
Hennur Road,3 BHK,1866,2.0,61.58,Bengaluru
Geleyara Balaga Layout,2 BHK,700,1.0,26.0,Bengaluru
Kalena Agrahara,3 BHK,1804,3.0,120.0,Bengaluru
Sarjapur,2 BHK,913,2.0,32.0,Bengaluru
Talaghattapura,3 BHK,1868,3.0,131.0,Bengaluru
Kengeri Satellite Town,2 BHK,883,2.0,45.0,Bengaluru
Sundara Nagar,2 Bedroom,900,2.0,110.0,Bengaluru
Kogilu,3 BHK,1664,2.0,73.95,Bengaluru
Hegde Nagar,3 BHK,2026,3.0,132.0,Bengaluru
Balagere,2 BHK,1210,2.0,80.9,Bengaluru
Meenakunte,4 Bedroom,4111,4.0,250.0,Bengaluru
Kadugodi,3 BHK,1762,3.0,91.45,Bengaluru
Jigani,3 BHK,1252,3.0,55.0,Bengaluru
Gollarapalya Hosahalli,2 BHK,861,2.0,34.5,Bengaluru
7th Phase JP Nagar,3 BHK,1420,2.0,100.0,Bengaluru
Srirampura,6 Bedroom,1450,6.0,250.0,Bengaluru
Electronics City Phase 1,3 BHK,1490,3.0,78.8,Bengaluru
Bisuvanahalli,3 BHK,1075,2.0,46.0,Bengaluru
Old Madras Road,3 BHK,1425,2.0,94.0,Bengaluru
Kalena Agrahara,2 BHK,1200,2.0,40.0,Bengaluru
Kaggadasapura,3 BHK,1280,2.0,56.0,Bengaluru
Silver Springs Layout,2 BHK,1084,2.0,50.0,Bengaluru
Chandapura,2 BHK,1015,2.0,25.88,Bengaluru
Kanakpura Road,2 BHK,1017,2.0,51.25,Bengaluru
Haralur Road,2 BHK,1027,2.0,44.0,Bengaluru
Electronic City Phase II,2 BHK,1069,2.0,45.0,Bengaluru
Hebbal,2 BHK,1349,2.0,98.2,Bengaluru
9th Phase JP Nagar,2 BHK,1005,2.0,50.0,Bengaluru
Jakkur,2 BHK,1417,2.0,75.0,Bengaluru
TC Palaya,3 Bedroom,1475,3.0,98.0,Bengaluru
Maruthi Sevanagar,2 BHK,950,2.0,47.0,Bengaluru
RMV 2nd Stage,4 BHK,2000,4.0,120.0,Bengaluru
Giri Nagar,3 Bedroom,880,3.0,140.0,Bengaluru
Sarjapur  Road,4 BHK,1863,3.0,104.0,Bengaluru
Singasandra,2 BHK,1010,2.0,29.5,Bengaluru
Kalena Agrahara,3 BHK,1425,2.0,70.0,Bengaluru
Vijayanagar,3 BHK,1450,3.0,100.0,Bengaluru
Kothanur,3 BHK,1847,3.0,105.0,Bengaluru
AECS Layout,2 BHK,1100,2.0,45.0,Bengaluru
Kanakpura Road,1 BHK,525,1.0,26.0,Bengaluru
Mallasandra,3 BHK,1665,3.0,95.0,Bengaluru
Begur,4 BHK,1664,4.0,65.0,Bengaluru
JP Nagar,3 BHK,1850,3.0,150.0,Bengaluru
Panathur,2 BHK,1438,2.0,100.0,Bengaluru
Sunder Ram Shetty Nagar,3 BHK,1560,3.0,115.0,Bengaluru
Yelahanka,2 BHK,1350,2.0,55.55,Bengaluru
Kanakpura Road,3 BHK,1550,3.0,67.0,Bengaluru
Malleshpalya,2 BHK,1140,2.0,46.5,Bengaluru
Srirampura,5 Bedroom,1200,5.0,180.0,Bengaluru
Kodathi,2 BHK,850,2.0,27.0,Bengaluru
Whitefield,2 BHK,1280,2.0,75.0,Bengaluru
Munnekollal,2 BHK,1170,2.0,52.0,Bengaluru
Motappa Layout,2 BHK,1113,2.0,51.0,Bengaluru
Hennur Road,2 BHK,1385,2.0,83.09,Bengaluru
Electronic City,2 BHK,1128,2.0,65.0,Bengaluru
Marathahalli,2 Bedroom,1200,2.0,128.0,Bengaluru
Akshaya Vana,4 Bedroom,1200,4.0,165.0,Bengaluru
Rajaji Nagar,3 BHK,2390,3.0,415.0,Bengaluru
Giri Nagar,4 Bedroom,2400,4.0,400.0,Bengaluru
Haralur Road,3 BHK,1464,3.0,56.0,Bengaluru
Manayata Tech Park,2 BHK,1200,2.0,55.0,Bengaluru
Kaval Byrasandra,2 BHK,1200,2.0,52.0,Bengaluru
Kaggalipura,3 BHK,1150,2.0,55.0,Bengaluru
Basavanna Nagar,3 BHK,1645,3.0,95.0,Bengaluru
Sarjapur  Road,2 BHK,1000,2.0,67.0,Bengaluru
Haralur Road,4 Bedroom,2650,4.0,198.0,Bengaluru
6th Phase JP Nagar,2 BHK,1192,2.0,74.0,Bengaluru
Ulsoor,3 BHK,2135,3.0,215.0,Bengaluru
Whitefield,2 BHK,1173,2.0,58.0,Bengaluru
Uttarahalli,2 BHK,1020,2.0,45.0,Bengaluru
Thigalarapalya,4 BHK,3122,6.0,230.0,Bengaluru
Somasundara Palya,3 BHK,1600,3.0,64.0,Bengaluru
T.C PALYA,2 Bedroom,1200,2.0,79.0,Bengaluru
Muneshwara Nagar,2 BHK,1230,2.0,48.0,Bengaluru
 Devarachikkanahalli,2 BHK,1250,2.0,40.0,Bengaluru
Kalena Agrahara,2 BHK,1325,2.0,76.0,Bengaluru
7th Phase JP Nagar,3 BHK,1850,3.0,150.0,Bengaluru
Kanakpura Road,1 BHK,525,,21.53,Bengaluru
Basaveshwara Nagar,2 BHK,1200,2.0,65.0,Bengaluru
Bull Temple Road,3 Bedroom,1350,2.0,140.0,Bengaluru
Bommasandra,3 BHK,1260,3.0,49.36,Bengaluru
Prashanth Nagar,3 BHK,1800,3.0,150.0,Bengaluru
Suragajakkanahalli,3 Bedroom,11,3.0,74.0,Bengaluru
Ardendale,2 BHK,1100,2.0,43.25,Bengaluru
Harlur,2 BHK,1508,2.0,77.0,Bengaluru
Sampigehalli,3 BHK,1592,3.0,75.0,Bengaluru
Akshaya Nagar,2 BHK,1388,2.0,57.0,Bengaluru
Electronic City Phase II,1 BHK,630,1.0,28.35,Bengaluru
RMV,3 Bedroom,2000,3.0,365.0,Bengaluru
Banashankari3rd stage bigbazar,3 BHK,1762,3.0,125.0,Bengaluru
Bagalur Main Road,2 BHK,950,2.0,50.0,Bengaluru
Kodihalli,4 BHK,3252,5.0,335.0,Bengaluru
Magadi Road,2 BHK,1116,2.0,50.0,Bengaluru
Narayanapura,2 BHK,1308,2.0,89.04,Bengaluru
MS Pallya,3 BHK,1200,3.0,90.0,Bengaluru
Binny Mills Employees Colony,4 Bedroom,1500,4.0,230.0,Bengaluru
Bannerghatta Road,1 BHK,500,1.0,18.5,Bengaluru
Hennur,2 BHK,1075,2.0,52.0,Bengaluru
Chandapura,1 BHK,530,1.0,11.66,Bengaluru
Bellandur,2 BHK,1205,2.0,66.0,Bengaluru
5th Phase JP Nagar,2 BHK,1075,2.0,60.0,Bengaluru
KR Puram,2 BHK,930,2.0,39.0,Bengaluru
Balagere,2 BHK,1380,2.0,60.0,Bengaluru
Hebbal,4 BHK,2483,5.0,212.0,Bengaluru
Kodigehaali,2 BHK,1166,2.0,55.0,Bengaluru
Bannerghatta Road,2 BHK,1050,2.0,65.0,Bengaluru
Gopalapura,3 BHK,2023.71,3.0,275.0,Bengaluru
Begur Road,2 BHK,1200,2.0,46.8,Bengaluru
Lakshminarayana Pura,3 BHK,1600,2.0,108.0,Bengaluru
Billekahalli,3 BHK,1935,3.0,110.0,Bengaluru
8th Phase JP Nagar,1 BHK,451,1.0,29.9,Bengaluru
Electronic City,3 BHK,1800,3.0,95.0,Bengaluru
Jalahalli,3 BHK,1400,3.0,77.0,Bengaluru
Hegde Nagar,3 BHK,1801,3.0,115.0,Bengaluru
Mahadevpura,2 BHK,1451,2.0,90.0,Bengaluru
Anekal,2 Bedroom,1200,1.0,36.0,Bengaluru
Begur Road,2 BHK,1160,2.0,44.0,Bengaluru
Kengeri,2 BHK,1000,2.0,25.0,Bengaluru
Kanakpura Road,2 BHK,950,2.0,40.0,Bengaluru
"Hoodi Circle, ",3 BHK,1629,3.0,79.0,Bengaluru
Vijayanagar,3 BHK,1580,2.0,134.0,Bengaluru
Vijayanagar,3 BHK,1826,3.0,121.0,Bengaluru
7th Phase JP Nagar,2 BHK,1245,2.0,94.0,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1145,2.0,45.79,Bengaluru
Sompura,2 BHK,825,2.0,33.0,Bengaluru
Yeshwanthpur,3 BHK,1693,3.0,108.0,Bengaluru
Electronics City Phase 1,2 BHK,1113.27,2.0,53.0,Bengaluru
Ashirvad Colony,2 BHK,1460,2.0,58.0,Bengaluru
Doddathoguru,2 BHK,1050,2.0,32.0,Bengaluru
Dodda Nekkundi,2 BHK,1260,2.0,55.0,Bengaluru
K N Extension,6 BHK,700,3.0,120.0,Bengaluru
Hosur Road,2 BHK,1656,2.0,120.0,Bengaluru
Chandapura,3 BHK,1208,3.0,45.0,Bengaluru
Whitefield,3 BHK,1910,3.0,161.0,Bengaluru
Whitefield,4 BHK,3252,4.0,230.0,Bengaluru
Battarahalli,2 Bedroom,1200,2.0,65.0,Bengaluru
Gokula Extension,4 BHK,1200,4.0,175.0,Bengaluru
7th Phase JP Nagar,2 BHK,1175,2.0,82.0,Bengaluru
Kamakshipalya,2 Bedroom,1000,2.0,165.0,Bengaluru
Bannerghatta Road,4 Bedroom,1200,2.0,125.0,Bengaluru
Rajaji Nagar,3 BHK,2390,3.0,410.0,Bengaluru
Rajaji Nagar,7 BHK,12000,6.0,2200.0,Bengaluru
Sultan Palaya,2 Bedroom,550,1.0,62.0,Bengaluru
Kengeri,1 BHK,34.46Sq. Meter,1.0,18.5,Bengaluru
Sanne Amanikere,2 BHK,1185,2.0,38.0,Bengaluru
Kengeri,2 BHK,750,2.0,38.0,Bengaluru
Mahalakshmi Layout,6 Bedroom,1200,7.0,250.0,Bengaluru
Kanakpura Road,3 BHK,1550,3.0,64.5,Bengaluru
Amco Colony,3 BHK,1760,3.0,88.0,Bengaluru
Billekahalli,2 BHK,1125,2.0,62.0,Bengaluru
Nagarbhavi,3 Bedroom,1350,3.0,150.0,Bengaluru
Anandapura,2 Bedroom,1000,2.0,55.0,Bengaluru
Bommasandra Industrial Area,2 BHK,1090,2.0,31.48,Bengaluru
TC Palaya,2 Bedroom,1200,2.0,60.0,Bengaluru
Budigere,3 BHK,1991,4.0,103.0,Bengaluru
Bommasandra,2 BHK,1060,2.0,26.5,Bengaluru
Ambalipura,2 BHK,1105,2.0,75.0,Bengaluru
Hoodi,2 BHK,985,2.0,67.0,Bengaluru
