location,size,total_sqft,bath,price,Place,bhk
Anna Nagar,2 bhk,1928,1,116.6705,Chennai,2
Chrompet,2 bhk,1233,1,98.1715,Chennai,2
Velachery,2 bhk,1618,1,92.6305,Chennai,2
Karapakkam,1 bhk,627,1,65.875,Chennai,1
Velachery,2 bhk,1563,1,97.9936,Chennai,2
Karapakkam,2 bhk,1693,2,128.015,Chennai,2
T Nagar,1 bhk,1522,1,174.5451,Chennai,1
Adyar,1 bhk,1090,1,98.3242,Chennai,1
Chrompet,1 bhk,1085,1,143.635,Chennai,1
T Nagar,1 bhk,1687,1,124.7677,Chennai,1
Adyar,1 bhk,692,1,103.81355,Chennai,1
T Nagar,1 bhk,1518,1,176.0024,Chennai,1
Adyar,1 bhk,1025,1,109.34875,Chennai,1
KK Nagar,3 bhk,2170,2,123.7216,Chennai,3
Chrompet,1 bhk,969,1,112.4875,Chennai,1
KK Nagar,2 bhk,1546,1,142.4114,Chennai,2
KK Nagar,2 bhk,1709,1,101.606,Chennai,2
T Nagar,1 bhk,1659,1,135.3908,Chennai,1
Chrompet,1 bhk,755,1,107.2775,Chennai,1
Adyar,1 bhk,1182,1,98.67055,Chennai,1
Adyar,1 bhk,735,1,94.7871,Chennai,1
Chrompet,1 bhk,1089,1,90.502,Chennai,1
Velachery,2 bhk,1534,1,79.0421,Chennai,2
Anna Nagar,1 bhk,1622,1,130.6345,Chennai,1
KK Nagar,3 bhk,2198,2,135.8498,Chennai,3
Chrompet,2 bhk,1293,1,131.1605,Chennai,2
KK Nagar,2 bhk,1641,1,100.126,Chennai,2
Velachery,3 bhk,1950,2,121.0592,Chennai,3
Karapakkam,1 bhk,1245,1,49.18375,Chennai,1
Chrompet,1 bhk,905,1,77.032,Chennai,1
KK Nagar,2 bhk,1496,1,85.6908,Chennai,2
Velachery,3 bhk,1892,2,121.4662,Chennai,3
Velachery,2 bhk,1517,1,116.7162,Chennai,2
Adyar,1 bhk,1034,1,92.5674,Chennai,1
Velachery,2 bhk,1755,1,149.159,Chennai,2
Anna Nagar,1 bhk,1622,1,135.4779,Chennai,1
Chrompet,1 bhk,1092,1,82.1304,Chennai,1
Chrompet,1 bhk,821,1,73.04,Chennai,1
KK Nagar,2 bhk,1694,1,103.909,Chennai,2
Anna Nagar,2 bhk,1809,1,192.0687,Chennai,2
Karapakkam,2 bhk,1401,2,99.65375,Chennai,2
Karapakkam,2 bhk,1470,2,72.07,Chennai,2
Chrompet,1 bhk,798,1,90.7055,Chennai,1
Chrompet,1 bhk,764,1,56.702,Chennai,1
Chrompet,1 bhk,1135,1,92.532,Chennai,1
Karapakkam,1 bhk,939,1,42.94,Chennai,1
Karapakkam,2 bhk,1586,2,143.16,Chennai,2
T Nagar,2 bhk,1973,1,233.07,Chennai,2
Chrompet,1 bhk,1023,1,97.3515,Chennai,1
Chrompet,1 bhk,884,1,113.364,Chennai,1
Anna Nagar,1 bhk,1640,1,177.016,Chennai,1
Adyar,1 bhk,622,1,65.729,Chennai,1
Anna Nagar,2 bhk,1880,1,134.2302,Chennai,2
KK Nagar,4 bhk,2413,2,131.2204,Chennai,4
T Nagar,1 bhk,1649,1,189.391,Chennai,1
Velachery,2 bhk,1729,1,128.0357,Chennai,2
T Nagar,2 bhk,1942,1,123.3074,Chennai,2
Chrompet,1 bhk,711,1,80.5027,Chennai,1
Chrompet,1 bhk,885,1,71.946,Chennai,1
KK Nagar,2 bhk,1688,1,114.127,Chennai,2
Adyar,2 bhk,1236,2,120.35355,Chennai,2
Karapakkam,1 bhk,926,1,68.77,Chennai,1
KK Nagar,2 bhk,1686,1,103.464,Chennai,2
Karapakkam,2 bhk,1344,2,108.095,Chennai,2
KK Nagar,2 bhk,1437,1,102.006,Chennai,2
Karapakkam,2 bhk,1430,2,66.3575,Chennai,2
Adyar,1 bhk,1081,1,61.9015,Chennai,1
Karapakkam,2 bhk,1352,2,65.0725,Chennai,2
KK Nagar,3 bhk,1986,2,113.504,Chennai,3
Anna Nagar,1 bhk,1758,1,192.8554,Chennai,1
Karapakkam,1 bhk,607,1,58.56625,Chennai,1
KK Nagar,3 bhk,2139,2,124.72,Chennai,3
KK Nagar,2 bhk,1488,1,84.419,Chennai,2
Velachery,2 bhk,1645,1,75.7932,Chennai,2
Chrompet,1 bhk,950,1,97.59,Chennai,1
Chrompet,1 bhk,928,1,124.238,Chennai,1
Velachery,2 bhk,1693,1,154.9576,Chennai,2
Velachery,3 bhk,1873,2,110.2227,Chennai,3
Adyar,1 bhk,721,1,76.0555,Chennai,1
Karapakkam,1 bhk,1190,1,79.6775,Chennai,1
KK Nagar,2 bhk,1593,1,89.468,Chennai,2
Chrompet,1 bhk,786,1,92.4482,Chennai,1
Chrompet,1 bhk,1195,1,98.216,Chennai,1
Velachery,3 bhk,1824,2,85.4906,Chennai,3
KK Nagar,3 bhk,1906,2,158.5274,Chennai,3
Adyar,1 bhk,656,1,87.57635,Chennai,1
Chrompet,1 bhk,727,1,84.1599,Chennai,1
Adyar,1 bhk,931,1,99.35595,Chennai,1
Velachery,3 bhk,1898,2,166.1786,Chennai,3
Anna Nagar,1 bhk,1698,1,124.1205,Chennai,1
T Nagar,2 bhk,1926,1,226.3054,Chennai,2
Karapakkam,2 bhk,1481,2,99.015,Chennai,2
Anna Nagar,1 bhk,1506,1,104.4991,Chennai,1
Chrompet,1 bhk,1020,1,79.486,Chennai,1
Chrompet,1 bhk,889,1,90.9868,Chennai,1
Chrompet,1 bhk,1015,1,83.4285,Chennai,1
T Nagar,1 bhk,1682,1,186.6235,Chennai,1
Chrompt,1 bhk,869,1,81.7263,Chennai,1
Karapakkam,2 bhk,1445,2,58.565,Chennai,2
Anna Nagar,2 bhk,1919,1,147.0416,Chennai,2
Adyar,2 bhk,1243,2,133.6044,Chennai,2
Karapakkam,1 bhk,857,1,49.2825,Chennai,1
Karapakkam,1 bhk,1055,1,73.15125,Chennai,1
KK Nagar,3 bhk,1778,2,109.9832,Chennai,3
Karapakkam,1 bhk,851,1,39.36375,Chennai,1
Chrompet,1 bhk,1021,1,92.0177,Chennai,1
KK Nagar,3 bhk,2203,2,178.9124,Chennai,3
Karapakkam,1 bhk,613,1,51.445,Chennai,1
Adyar,1 bhk,738,1,83.1267,Chennai,1
Karapakkam,2 bhk,1489,2,80.0725,Chennai,2
Karapakkam,1 bhk,795,1,84.7925,Chennai,1
Velachery,3 bhk,1909,2,101.2916,Chennai,3
Chrompet,2 bhk,1252,1,94.822,Chennai,2
Karapakkam,1 bhk,1077,1,98.4675,Chennai,1
KK Nagar,2 bhk,1524,1,86.7582,Chennai,2
Chrompet,1 bhk,1049,1,102.6245,Chennai,1
Velachery,2 bhk,1780,1,86.7105,Chennai,2
Chrompet,1 bhk,946,1,111.6555,Chennai,1
Chrompet,1 bhk,906,1,94.648,Chennai,1
KK Nagar,4 bhk,2344,2,188.4988,Chennai,4
Adyar,1 bhk,929,1,94.80425,Chennai,1
Anna Nagar,2 bhk,1843,1,122.6475,Chennai,2
Anna Nagar,2 bhk,1918,1,218.7505,Chennai,2
KK Nagar,2 bhk,1507,1,135.3858,Chennai,2
KK Nagar,2 bhk,1499,1,88.7632,Chennai,2
KK Nagar,2 bhk,1526,1,136.4504,Chennai,2
Anna Nagar,2 bhk,1855,1,209.962,Chennai,2
Karapakkam,2 bhk,1627,2,90.71125,Chennai,2
Velachery,3 bhk,1846,2,108.1583,Chennai,3
KK Nagar,3 bhk,2019,2,128.025,Chennai,3
Karapakkam,2 bhk,1578,2,95.325,Chennai,2
Velachery,2 bhk,1780,1,133.467,Chennai,2
Karapakkam,1 bhk,662,1,43.565,Chennai,1
Chrompet,1 bhk,1005,1,122.571,Chennai,1
Karapakkam,1 bhk,839,1,41.005,Chennai,1
Anna Nagar,1 bhk,1698,1,115.2743,Chennai,1
Adyar,1 bhk,878,1,64.52785,Chennai,1
Chrompet,1 bhk,835,1,84.3475,Chennai,1
Chrompet,1 bhk,911,1,74.2782,Chennai,1
Velachery,2 bhk,1796,1,91.0535,Chennai,2
Karapakkam,1 bhk,1004,1,47.215,Chennai,1
Anna Nagar,1 bhk,1694,1,125.7501,Chennai,1
Karapakkam,1 bhk,1244,1,79.5275,Chennai,1
Karapakkam,1 bhk,588,1,57.055,Chennai,1
KK Nagar,4 bhk,2342,2,128.9874,Chennai,4
Velachery,3 bhk,1835,2,107.2258,Chennai,3
Anna Nagar,2 bhk,1977,1,141.0296,Chennai,2
KK Nagar,3 bhk,1961,2,176.129,Chennai,3
Velachery,2 bhk,1517,1,71.4689,Chennai,2
KK Nagar,4 bhk,2409,2,134.7648,Chennai,4
Velachery,3 bhk,1864,2,151.0056,Chennai,3
Velachery,2 bhk,1643,1,155.9902,Chennai,2
Adyar,1 bhk,1015,1,112.2462,Chennai,1
Anna Nagar,1 bhk,1700,1,124.7704,Chennai,1
Karapakkam,1 bhk,624,1,43.9625,Chennai,1
Chrompet,1 bhk,980,1,119.0075,Chennai,1
Karapakkam,1 bhk,1003,1,100.9,Chennai,1
Adyar,1 bhk,1072,1,66.0769,Chennai,1
Karapakkam,1 bhk,808,1,47.5225,Chennai,1
Chrompet,1 bhk,1027,1,74.4135,Chennai,1
Karapakkam,1 bhk,696,1,64.4125,Chennai,1
Velachery,2 bhk,1716,1,103.5986,Chennai,2
Velachery,3 bhk,1878,2,143.2872,Chennai,3
KK Nagar,2 bhk,1699,1,114.441,Chennai,2
KK Nagar,2 bhk,1626,1,96.8028,Chennai,2
KK Nagar,2 bhk,1730,1,147.3936,Chennai,2
Chrompet,1 bhk,996,1,89.3962,Chennai,1
Chrmpet,2 bhk,1277,1,157.104,Chennai,2
Chrompet,1 bhk,906,1,102.266,Chennai,1
Anna Nagar,2 bhk,1976,1,123.0005,Chennai,2
Velachery,2 bhk,1776,1,99.8917,Chennai,2
Karapakkam,2 bhk,1402,2,69.665,Chennai,2
Chrompet,1 bhk,1160,1,94.639,Chennai,1
Velachery,3 bhk,1957,2,151.9945,Chennai,3
T Nagar,2 bhk,1887,1,204.9945,Chennai,2
Velachery,3 bhk,1859,2,99.2521,Chennai,3
Chrompet,1 bhk,747,1,112.2355,Chennai,1
Adyar,1 bhk,985,1,73.79505,Chennai,1
Chrompet,1 bhk,1024,1,120.914,Chennai,1
Velachery,2 bhk,1600,1,105.302,Chennai,2
Chrompet,2 bhk,1276,1,96.0412,Chennai,2
Chrompet,1 bhk,1159,1,90.628,Chennai,1
Karapakkam,1 bhk,1024,1,47.485,Chennai,1
Adyar,2 bhk,1249,2,126.42285,Chennai,2
Chrompet,1 bhk,839,1,91.0743,Chennai,1
Chrompet,2 bhk,1286,1,91.533,Chennai,2
KK Nagar,4 bhk,2467,2,126.5092,Chennai,4
Karapakkam,1 bhk,653,1,76.3525,Chennai,1
Karapakkam,1 bhk,606,1,78.54,Chennai,1
T Nagar,2 bhk,1837,1,131.9723,Chennai,2
Velachery,3 bhk,1880,2,136.6967,Chennai,3
KK Nagar,3 bhk,2189,2,182.4986,Chennai,3
Velachery,3 bhk,1853,2,147.0733,Chennai,3
Chrompet,1 bhk,1057,1,91.4484,Chennai,1
Adyar,1 bhk,723,1,109.6992,Chennai,1
T Nagar,2 bhk,1812,1,122.4864,Chennai,2
T Nagar,1 bhk,1788,1,142.2518,Chennai,1
Velachery,2 bhk,1615,1,80.1928,Chennai,2
Anna Nagar,1 bhk,1755,1,114.1031,Chennai,1
Adyar,2 bhk,1296,2,99.506,Chennai,2
KK Nagar,2 bhk,1554,1,99.8032,Chennai,2
Anna Nagar,1 bhk,1737,1,142.9278,Chennai,1
Karapakkam,1 bhk,785,1,57.52875,Chennai,1
Karapakkam,2 bhk,1678,2,118.8325,Chennai,2
KK Nagar,4 bhk,2360,2,198.1618,Chennai,4
KK Nagar,2 bhk,1464,1,93.9464,Chennai,2
KK Nagar,2 bhk,1632,1,105.0642,Chennai,2
Velachery,2 bhk,1755,1,87.6282,Chennai,2
Velachery,2 bhk,1556,1,93.481,Chennai,2
Adyar,1 bhk,1170,1,91.3474,Chennai,1
Adyar,1 bhk,901,1,76.43255,Chennai,1
Karapakkam,1 bhk,1160,1,88.8625,Chennai,1
Karapakkam,2 bhk,1570,2,64.07,Chennai,2
Karapakkam,2 bhk,1476,2,115.36,Chennai,2
Karapakkam,1 bhk,586,1,53.33,Chennai,1
Karapakkam,1 bhk,1059,1,78.4925,Chennai,1
T Nagar,1 bhk,1712,1,137.9772,Chennai,1
Adyar,1 bhk,847,1,74.923,Chennai,1
Karapakkam,1 bhk,1192,1,53.4225,Chennai,1
Velachery,3 bhk,1942,2,162.1265,Chennai,3
Karapakkam,1 bhk,557,1,47.10125,Chennai,1
Velachery,2 bhk,1728,1,148.9848,Chennai,2
Velachery,2 bhk,1798,1,170.6038,Chennai,2
Karapakkam,2 bhk,1497,2,69.3175,Chennai,2
Chrompet,1 bhk,1173,1,81.964,Chennai,1
Anna Nagar,1 bhk,1640,1,177.0467,Chennai,1
KK Nagar,2 bhk,1747,1,107.8468,Chennai,2
Karapakkam,2 bhk,1342,2,95.9425,Chennai,2
T Nagar,2 bhk,2000,1,135.9689,Chennai,2
Velachery,3 bhk,1987,2,111.5632,Chennai,3
Karapakkam,2 bhk,1567,2,77.25875,Chennai,2
Karapakkam,1 bhk,1188,1,98.195,Chennai,1
Adyar,1 bhk,737,1,38.6918,Chennai,1
Karapakkam,1 bhk,785,1,58.52625,Chennai,1
KK Nagar,3 bhk,2078,2,96.9682,Chennai,3
Adyar,1 bhk,647,1,95.7455,Chennai,1
Karapakkam,1 bhk,1171,1,61.02625,Chennai,1
KK Nagar,4 bhk,2435,2,202.4636,Chennai,4
Velachery,3 bhk,1805,2,169.3047,Chennai,3
Karapakkam,1 bhk,1145,1,55.1025,Chennai,1
Karapakkam,1 bhk,971,1,65.305,Chennai,1
Karapakkam,2 bhk,1657,2,101.47125,Chennai,2
Velachery,2 bhk,1638,1,97.059,Chennai,2
Adyar,2 bhk,1284,2,161.07475,Chennai,2
Adyar,2 bhk,1273,2,74.5169,Chennai,2
Chrompet,1 bhk,1185,1,101.63,Chennai,1
T Nagar,1 bhk,1538,1,193.7695,Chennai,1
KK Nagar,3 bhk,1929,2,101.7398,Chennai,3
KK Nagar,2 bhk,1656,1,109.101,Chennai,2
Adyar,2 bhk,1287,2,150.13625,Chennai,2
T Nagar,1 bhk,1749,1,117.1341,Chennai,1
Anna Nagar,1 bhk,1585,1,173.8279,Chennai,1
T Nagar,2 bhk,1962,1,158.6299,Chennai,2
KK Nagar,2 bhk,1425,1,86.7728,Chennai,2
Karapakkam,1 bhk,884,1,82.825,Chennai,1
Chrompet,1 bhk,1052,1,79.2674,Chennai,1
T Nagar,1 bhk,1756,1,120.9357,Chennai,1
Karapakkam,1 bhk,523,1,73.9,Chennai,1
Velachery,2 bhk,1524,1,110.5329,Chennai,2
T Nagar,2 bhk,1949,1,144.6493,Chennai,2
Chrompet,2 bhk,1263,1,106.3701,Chennai,2
KK Nagar,3 bhk,1917,2,110.4596,Chennai,3
KK Nagar,2 bhk,1401,1,74.102,Chennai,2
Chrompet,1 bhk,723,1,86.4586,Chennai,1
T Nagar,1 bhk,1660,1,177.8774,Chennai,1
Chrompet,1 bhk,895,1,85.1475,Chennai,1
Anna Nagar,2 bhk,1889,1,138.4105,Chennai,2
Chrompet,1 bhk,1199,1,91.6058,Chennai,1
Karapakkam,1 bhk,782,1,77.945,Chennai,1
Anna Nagar,1 bhk,1571,1,129.4653,Chennai,1
KK Nagar,3 bhk,1848,2,158.8328,Chennai,3
Chrompet,1 bhk,1131,1,100.8967,Chennai,1
Karapakkam,1 bhk,1062,1,53.3575,Chennai,1
KK Nagar,3 bhk,1983,2,121.2688,Chennai,3
Velachery,2 bhk,1572,1,81.6545,Chennai,2
Anna Nagar,1 bhk,1535,1,114.8474,Chennai,1
T Nagar,2 bhk,1818,1,220.2474,Chennai,2
KK Nagar,2 bhk,1484,1,97.7102,Chennai,2
KK Nagar,3 bhk,2189,2,120.7188,Chennai,3
Chrompet,2 bhk,1203,1,129.2555,Chennai,2
KK Nagar,2 bhk,1610,1,153.8748,Chennai,2
Adyar,1 bhk,863,1,66.37005,Chennai,1
Karapakkam,1 bhk,985,1,74.46875,Chennai,1
Karapakkam,2 bhk,1623,2,116.585,Chennai,2
Adyar,1 bhk,1019,1,66.63435,Chennai,1
Karapakkam,2 bhk,1575,2,98.9425,Chennai,2
Chrompet,1 bhk,802,1,79.6849,Chennai,1
T Nagar,2 bhk,1846,1,124.0376,Chennai,2
Chrompet,1 bhk,759,1,81.4928,Chennai,1
KK Nagar,3 bhk,2060,2,160.126,Chennai,3
KK Nagar,2 bhk,1503,1,111.2104,Chennai,2
Velachery,3 bhk,1853,2,94.6223,Chennai,3
T Nagar,1 bhk,1739,1,204.7759,Chennai,1
Karapakkam,1 bhk,766,1,87.555,Chennai,1
Chrompet,1 bhk,857,1,84.7159,Chennai,1
T Nagar,2 bhk,1887,1,130.2403,Chennai,2
Karapakkam,2 bhk,1502,2,82.1525,Chennai,2
Velachery,2 bhk,1568,1,63.6185,Chennai,2
Chrompet,1 bhk,918,1,109.293,Chennai,1
Adyar,2 bhk,1289,2,146.345,Chennai,2
KK Nagar,3 bhk,1941,2,122.2842,Chennai,3
Velachery,2 bhk,1730,1,104.9441,Chennai,2
Velachery,2 bhk,1513,1,123.5064,Chennai,2
Velachery,2 bhk,1762,1,90.7108,Chennai,2
Anna Nagar,2 bhk,1970,1,124.5091,Chennai,2
Velachery,2 bhk,1702,1,122.2565,Chennai,2
Velachery,2 bhk,1726,1,68.0464,Chennai,2
Chrompet,2 bhk,1243,1,154.9515,Chennai,2
Velachery,2 bhk,1550,1,124.5668,Chennai,2
KK Nagar,3 bhk,1830,2,163.1228,Chennai,3
Karapakkam,2 bhk,1435,2,97.5325,Chennai,2
Velachery,2 bhk,1729,1,106.2975,Chennai,2
T Nagar,1 bhk,1572,1,207.1586,Chennai,1
Chrompet,1 bhk,1145,1,142.972,Chennai,1
Chrompet,1 bhk,1043,1,83.1741,Chennai,1
Karapakkam,1 bhk,1332,1,82.615,Chennai,1
Karapakkam,1 bhk,608,1,62.0625,Chennai,1
Adyar,1 bhk,676,1,84.00465,Chennai,1
Velachery,2 bhk,1685,1,111.0432,Chennai,2
Adyar,1 bhk,658,1,60.83885,Chennai,1
Chrompet,1 bhk,1008,1,88.3616,Chennai,1
Anna Nagar,2 bhk,1924,1,136.2004,Chennai,2
KK Nagar,3 bhk,2112,2,167.5646,Chennai,3
Chrompet,1 bhk,917,1,118.8995,Chennai,1
Karapakkam,2 bhk,1353,2,85.73875,Chennai,2
Anna Nagar,1 bhk,1694,1,140.5497,Chennai,1
Anna Nagar,1 bhk,1625,1,183.1611,Chennai,1
Anna Nagar,2 bhk,1882,1,147.6186,Chennai,2
T Nagar,2 bhk,1924,1,221.2326,Chennai,2
Chrompet,1 bhk,894,1,108.824,Chennai,1
Karapakkam,1 bhk,904,1,68.63,Chennai,1
Adyar,2 bhk,1279,2,97.9291,Chennai,2
Velachery,2 bhk,1547,1,100.9059,Chennai,2
Karapakkam,1 bhk,626,1,50.7275,Chennai,1
T Nagar,1 bhk,1673,1,121.5632,Chennai,1
Chrompet,2 bhk,1296,1,107.4102,Chennai,2
KK Nagar,3 bhk,2194,2,168.0552,Chennai,3
KK Nagar,2 bhk,1678,1,135.8612,Chennai,2
Chrompet,1 bhk,702,1,80.213,Chennai,1
Adyar,1 bhk,1067,1,79.60405,Chennai,1
Chrompet,1 bhk,980,1,118.4735,Chennai,1
KK Nagar,3 bhk,1989,2,119.856,Chennai,3
Chrompet,2 bhk,1257,1,137.8845,Chennai,2
Chrompet,1 bhk,1069,1,100.8028,Chennai,1
Karapakkam,1 bhk,606,1,65.6475,Chennai,1
Karapakkam,2 bhk,1449,2,88.615,Chennai,2
Karapakkam,1 bhk,1154,1,78.8,Chennai,1
Adyar,1 bhk,927,1,126.82895,Chennai,1
Karapakkam,2 bhk,1613,2,101.69625,Chennai,2
Velachery,3 bhk,1851,2,119.591,Chennai,3
Velachery,2 bhk,1511,1,103.919,Chennai,2
KK Nagar,2 bhk,1765,1,93.3888,Chennai,2
Karapakkam,1 bhk,1238,1,113.2975,Chennai,1
Chrompet,1 bhk,934,1,84.6905,Chennai,1
Chrompet,1 bhk,754,1,77.058,Chennai,1
T Nagar,1 bhk,1736,1,140.5718,Chennai,1
Chrompet,1 bhk,980,1,86.215,Chennai,1
Karapakkam,1 bhk,1299,1,93.385,Chennai,1
Karapakkam,1 bhk,849,1,56.68875,Chennai,1
KK Nagar,2 bhk,1450,1,100.4042,Chennai,2
T Nagar,1 bhk,1634,1,127.3027,Chennai,1
Karapakkam,1 bhk,1320,1,110.715,Chennai,1
Chrompet,1 bhk,769,1,72.6165,Chennai,1
Karapakkam,1 bhk,1150,1,69.82,Chennai,1
Chrompet,1 bhk,908,1,75.4696,Chennai,1
Karapakkam,2 bhk,1668,2,136.505,Chennai,2
KK Nagar,3 bhk,1990,2,106.5212,Chennai,3
Anna Nagar,2 bhk,1857,1,133.7861,Chennai,2
KK Nagar,3 bhk,2061,2,172.6588,Chennai,3
KK Nagar,2 bhk,1668,1,100.4462,Chennai,2
KK Nagar,2 bhk,1444,1,91.5372,Chennai,2
Chrompet,1 bhk,1121,1,90.8952,Chennai,1
KK Nagar,2 bhk,1514,1,90.7566,Chennai,2
Chrompet,2 bhk,1256,1,99.578,Chennai,2
Karapakkam,1 bhk,672,1,58.0525,Chennai,1
Adyar,1 bhk,908,1,130.87155,Chennai,1
Karapakkam,2 bhk,1631,2,93.14,Chennai,2
Adyar,1 bhk,1001,1,105.33755,Chennai,1
Velachery,2 bhk,1618,1,114.6231,Chennai,2
KK Nagar,4 bhk,2340,2,129.482,Chennai,4
Karapakkam,1 bhk,1159,1,61.49625,Chennai,1
Velachery,2 bhk,1775,1,110.316,Chennai,2
Chrompet,1 bhk,1008,1,127.1305,Chennai,1
Velachery,2 bhk,1563,1,156.6474,Chennai,2
KK Nagar,2 bhk,1723,1,112.6552,Chennai,2
Velachery,2 bhk,1543,1,129.0079,Chennai,2
Chrompet,2 bhk,1231,1,102.7142,Chennai,2
T Nagar,2 bhk,1995,1,141.5484,Chennai,2
KK Nagar,3 bhk,2113,2,121.6042,Chennai,3
T Nagar,2 bhk,1849,1,220.8418,Chennai,2
Chrompet,1 bhk,1095,1,99.5335,Chennai,1
Karapakkam,1 bhk,1057,1,87.885,Chennai,1
Karapakkam,1 bhk,841,1,62.6625,Chennai,1
Adyar,1 bhk,693,1,68.7951,Chennai,1
Anna Nagar,1 bhk,1666,1,119.9128,Chennai,1
T Nagar,1 bhk,1517,1,198.1786,Chennai,1
Anna Nagar,2 bhk,1854,1,197.6636,Chennai,2
Adyar,1 bhk,789,1,80.9807,Chennai,1
Chrompet,1 bhk,760,1,82.74,Chennai,1
Chrompet,1 bhk,1137,1,89.1254,Chennai,1
Anna Nagar,1 bhk,1687,1,196.0981,Chennai,1
Karapakkam,1 bhk,984,1,53.4075,Chennai,1
Karapakkam,2 bhk,1662,2,128.255,Chennai,2
Adyar,1 bhk,1065,1,87.17385,Chennai,1
KK Nagar,2 bhk,1621,1,99.282,Chennai,2
Chrompet,1 bhk,703,1,82.3186,Chennai,1
